,Player,dob,year,month,day,trimestre,Deporte
12932,Gui Deodato,"Jun 2, 1991",1991,6,2,2,Baloncesto
12939,Manuil de Souza,"Apr 3, 1979",1979,4,3,2,Baloncesto
12944,Ulisses Lima,"Mar 15, 1985",1985,3,15,1,Baloncesto
12949,Abe Badmus,"Feb 9, 1985",1985,2,9,1,Baloncesto
12951,Brasilia Clemente,"Dec 9, 1972",1972,12,9,4,Baloncesto
12953,Thiago Perez,"Dec 9, 1982",1982,12,9,4,Baloncesto
12960,Darlan de Oliveira,"Jan 11, 1985",1985,1,11,1,Baloncesto
12963,Marcos Martins,"Jan 18, 1981",1981,1,18,1,Baloncesto
12964,Bruno da Silva,"Jul 8, 1981",1981,7,8,3,Baloncesto
12965,Zezinho Jose Anibal,"Mar 16, 1988",1988,3,16,1,Baloncesto
12966,Felipe da Silva,"Apr 2, 1990",1990,4,2,2,Baloncesto
12968,Jordan Burger,"Mar 4, 1991",1991,3,4,1,Baloncesto
13019,Nuno Pedroso,"Jan 26, 1979",1979,1,26,1,Baloncesto
13051,Dejan Dunovic,"Jul 18, 1982",1982,7,18,3,Baloncesto
13055,Nikolay Kolev,"Jul 17, 1988",1988,7,17,3,Baloncesto
13062,Lubomir Lilov,"Mar 9, 1987",1987,3,9,1,Baloncesto
13064,Vassil Evtimov,"May 30, 1977",1977,5,30,2,Baloncesto
13066,Georgi Davidov,"Aug 2, 1976",1976,8,2,3,Baloncesto
13067,Atanas Penev,"Apr 8, 1985",1985,4,8,2,Baloncesto
13068,Dimitar Filipov,"Feb 22, 1989",1989,2,22,1,Baloncesto
13071,Hrisimir Dimitrov,"Jun 21, 1974",1974,6,21,2,Baloncesto
13074,Ante Bilobork,"Aug 14, 1982",1982,8,14,3,Baloncesto
13086,Milcho Borisov,"Sep 27, 1990",1990,9,27,3,Baloncesto
13115,Boubacar Coly,"Jul 11, 1983",1983,7,11,3,Baloncesto
13155,Marcus Douthit,"Apr 15, 1980",1980,4,15,2,Baloncesto
13186,Duo Peng,"Aug 17, 1990",1990,8,17,3,Baloncesto
13197,Jin Lipeng,"Jul 22, 1978",1978,7,22,3,Baloncesto
13218,Chun Shentu,"Mar 2, 1990",1990,3,2,1,Baloncesto
13233,Bo Wang,"Nov 4, 1982",1982,11,4,4,Baloncesto
13236,GuiJun Xu,"Feb 21, 1980",1980,2,21,1,Baloncesto
13237,Wenbo Yang,"Nov 8, 1990",1990,11,8,4,Baloncesto
13240,Lati Mu,"Jan 10, 1985",1985,1,10,1,Baloncesto
13243,Jiang Pan,"Jan 12, 1985",1985,1,12,1,Baloncesto
13245,Tian Feng,"Jun 7, 1989",1989,6,7,2,Baloncesto
13246,Yong Wang,"Nov 11, 1986",1986,11,11,4,Baloncesto
13253,JiuLong Liu,"Mar 10, 1983",1983,3,10,1,Baloncesto
13255,Fei Peng,"Jan 27, 1987",1987,1,27,1,Baloncesto
13257,Ben He,"Feb 17, 1989",1989,2,17,1,Baloncesto
13265,Yan Lu,"Feb 28, 1981",1981,2,28,1,Baloncesto
13277,Ivan Grgat,"Sep 22, 1974",1974,9,22,3,Baloncesto
13296,Ivo Josipovic,"Feb 6, 1975",1975,2,6,1,Baloncesto
13303,Mladen Gligora,"Feb 6, 1982",1982,2,6,1,Baloncesto
13310,Jure Lozancic,"Apr 21, 1983",1983,4,21,2,Baloncesto
13317,Antonio Ostric,"Apr 13, 1989",1989,4,13,2,Baloncesto
13318,Denis Vrsaljko,"Jan 15, 1982",1982,1,15,1,Baloncesto
13321,Marino Jurjevic,"Sep 2, 1984",1984,9,2,3,Baloncesto
13325,Ivan Perincic,"Feb 11, 1977",1977,2,11,1,Baloncesto
13327,Stefan Zadravec,"Mar 7, 1992",1992,3,7,1,Baloncesto
13329,Zoran Pehar,"May 6, 1981",1981,5,6,2,Baloncesto
13330,Frano Karac,"Apr 2, 1979",1979,4,2,2,Baloncesto
13340,Tomislav Ramljak,"Aug 3, 1985",1985,8,3,3,Baloncesto
13343,Luka Pesut,"Aug 18, 1991",1991,8,18,3,Baloncesto
13346,Damir Mulaomerovic,"Sep 19, 1974",1974,9,19,3,Baloncesto
13349,Saso Ozbolt,"Apr 4, 1981",1981,4,4,2,Baloncesto
13351,Marino Grabovac,"Jul 13, 1992",1992,7,13,3,Baloncesto
13353,Domeniko Hajdic,"Jan 20, 1992",1992,1,20,1,Baloncesto
13385,Jiri Holanda,"Mar 13, 1986",1986,3,13,1,Baloncesto
13391,Mihajlo Pesic,"Jul 4, 1981",1981,7,4,3,Baloncesto
13393,Savvas Manousos,"Jul 4, 1985",1985,7,4,3,Baloncesto
13397,Stepan Vrubl,"Jun 8, 1976",1976,6,8,2,Baloncesto
13399,Tomas Hruby,"Jun 30, 1978",1978,6,30,2,Baloncesto
13411,Jaroslav Kovanda,"Apr 12, 1982",1982,4,12,2,Baloncesto
13412,Milan Kolovrat,"Jan 14, 1986",1986,1,14,1,Baloncesto
13423,Jaromir Fohler,"Jan 11, 1985",1985,1,11,1,Baloncesto
13424,Veroslav Sucharda,"Apr 21, 1976",1976,4,21,2,Baloncesto
13426,Jaroslav Tyrna,"Aug 18, 1986",1986,8,18,3,Baloncesto
13428,Tomas Kubiznak,"Dec 1, 1978",1978,12,1,4,Baloncesto
13431,Jiri Cernosek,"Feb 8, 1981",1981,2,8,1,Baloncesto
13443,Petr Strnisko,"Mar 19, 1989",1989,3,19,1,Baloncesto
13447,Milan Soukup,"Apr 5, 1980",1980,4,5,2,Baloncesto
13465,Julian McFarlane,"Apr 4, 1986",1986,4,4,2,Baloncesto
13466,Peter Johansen,"Jul 15, 1980",1980,7,15,3,Baloncesto
13471,Hans Schur,"Oct 29, 1983",1983,10,29,4,Baloncesto
13477,Davor Sattler,"Oct 26, 1986",1986,10,26,4,Baloncesto
13485,Henrik Thomsen,"May 23, 1984",1984,5,23,2,Baloncesto
13486,Christian Martinus Nielsen,"Mar 8, 1986",1986,3,8,1,Baloncesto
13487,Mike Flowers,"Aug 16, 1986",1986,8,16,3,Baloncesto
13489,Jonas Larsen,"Jun 26, 1986",1986,6,26,2,Baloncesto
13493,Mike Dejworek,"Jul 1, 1987",1987,7,1,3,Baloncesto
13498,Christian Lindberg,"Aug 10, 1983",1983,8,10,3,Baloncesto
13499,Olafur Sigurdsson,"Sep 26, 1982",1982,9,26,3,Baloncesto
13501,Jorg Rottgardt,"Dec 25, 1981",1981,12,25,4,Baloncesto
13502,Sami Eleraky,"May 30, 1993",1993,5,30,2,Baloncesto
13504,Lars Hoirup,"Dec 7, 1983",1983,12,7,4,Baloncesto
13505,Morten Christensen,"Dec 4, 1988",1988,12,4,4,Baloncesto
13506,Peter Simonsen,"Dec 14, 1988",1988,12,14,4,Baloncesto
13511,Philip Christiansen,"Dec 25, 1991",1991,12,25,4,Baloncesto
13512,Martin Hoirup,"Jul 5, 1982",1982,7,5,3,Baloncesto
13513,Soren Jensen,"May 30, 1980",1980,5,30,2,Baloncesto
13564,Sandis Valters,"Aug 31, 1978",1978,8,31,3,Baloncesto
13602,Maxim Grigoryev,"Apr 25, 1990",1990,4,25,2,Baloncesto
13622,Aleksey Zozulin,"Jan 14, 1983",1983,1,14,1,Baloncesto
13631,Mike Lenzly,"May 1, 1981",1981,5,1,2,Baloncesto
13666,Matjaz Smodis,"Dec 13, 1979",1979,12,13,4,Baloncesto
13699,Veselin Petrovic,"Jul 1, 1977",1977,7,1,3,Baloncesto
13706,Vedran Vukusic,"Dec 18, 1982",1982,12,18,4,Baloncesto
13720,Povilas Butkevicius,"Sep 26, 1987",1987,9,26,3,Baloncesto
13730,Henry Domercant,"Dec 30, 1980",1980,12,30,4,Baloncesto
13778,Ramunas Siskauskas,"Sep 10, 1978",1978,9,10,3,Baloncesto
13815,Kelly McCarty,"Aug 24, 1975",1975,8,24,3,Baloncesto
13832,Denis Marconato,"Jul 29, 1975",1975,7,29,3,Baloncesto
13868,Tal Burstein,"Feb 19, 1980",1980,2,19,1,Baloncesto
13883,Zakhar Pashutin,"May 3, 1974",1974,5,3,2,Baloncesto
13925,Pasi Riihela,"Apr 6, 1975",1975,4,6,2,Baloncesto
13929,Sami Pekkola,"Dec 16, 1983",1983,12,16,4,Baloncesto
13942,Jouko Jarvinen,"Apr 20, 1987",1987,4,20,2,Baloncesto
13948,Viljami Vanjoki,"Jun 27, 1986",1986,6,27,2,Baloncesto
13949,Jari Vanttaja,"Aug 15, 1986",1986,8,15,3,Baloncesto
13950,Teemu Rintala,"Nov 7, 1987",1987,11,7,4,Baloncesto
13972,Akin Akingbala,"Mar 25, 1983",1983,3,25,1,Baloncesto
14023,Souarata Cisse,"Jan 16, 1986",1986,1,16,1,Baloncesto
14024,Marko Maravic,"Jun 26, 1979",1979,6,26,2,Baloncesto
14030,Luc-Arthur Vebobe,"Apr 3, 1980",1980,4,3,2,Baloncesto
14047,Maxime Zianveni,"Dec 29, 1979",1979,12,29,4,Baloncesto
14052,Slaven Rimac,"Dec 19, 1974",1974,12,19,4,Baloncesto
14062,Nathan Peavy,"Mar 31, 1985",1985,3,31,1,Baloncesto
14100,Simonas Serapinas,"Feb 24, 1982",1982,2,24,1,Baloncesto
14111,Osvaldo Jeanty,"Aug 1, 1983",1983,8,1,3,Baloncesto
14132,Koko Archibong,"May 10, 1981",1981,5,10,2,Baloncesto
14145,Tristan Blackwood,"Jan 14, 1985",1985,1,14,1,Baloncesto
14154,Bernd Kruel,"Jun 1, 1976",1976,6,1,2,Baloncesto
14163,Demond Greene,"Jun 15, 1979",1979,6,15,2,Baloncesto
14166,Dragan Dojcin,"Jan 22, 1976",1976,1,22,1,Baloncesto
14170,Johannes Herber,"Jan 17, 1983",1983,1,17,1,Baloncesto
14178,Dimos Dikoudis,"Jun 24, 1977",1977,6,24,2,Baloncesto
14198,Stevan Nadjfeji,"Aug 16, 1979",1979,8,16,3,Baloncesto
14211,Ioannis Kalampokis,"Aug 15, 1978",1978,8,15,3,Baloncesto
14213,Dragan Ceranic,"Dec 15, 1976",1976,12,15,4,Baloncesto
14222,Prodromos Nikolaidis,"Jul 13, 1978",1978,7,13,3,Baloncesto
14246,Vaggelis Karaboulas,"Nov 18, 1981",1981,11,18,4,Baloncesto
14248,Giannis Demertzis,"Jul 20, 1983",1983,7,20,3,Baloncesto
14250,Sakis Karidas,"Nov 4, 1979",1979,11,4,4,Baloncesto
14277,Benson Egemonye,"Mar 30, 1983",1983,3,30,1,Baloncesto
14292,Istvan Nemeth,"Nov 16, 1979",1979,11,16,4,Baloncesto
14300,Ferdinand Morgen,"Dec 26, 1990",1990,12,26,4,Baloncesto
14310,Zoltan Bencze,"Jul 14, 1981",1981,7,14,3,Baloncesto
14314,Laszlo Simon,"Jan 18, 1986",1986,1,18,1,Baloncesto
14315,Erno Sitku,"Jan 9, 1972",1972,1,9,1,Baloncesto
14320,Gyorgy Kinter,"Jun 16, 1988",1988,6,16,2,Baloncesto
14326,Gabor Gombas,"Aug 14, 1985",1985,8,14,3,Baloncesto
14327,Gergely Hegedus,"Oct 20, 1983",1983,10,20,4,Baloncesto
14328,Balazs Szoke,"May 6, 1976",1976,5,6,2,Baloncesto
14329,Adam Vertetics,"May 24, 1987",1987,5,24,2,Baloncesto
14330,Gabor Boros,"Oct 8, 1982",1982,10,8,4,Baloncesto
14331,Bojan Sormaz,"May 12, 1986",1986,5,12,2,Baloncesto
14333,Kornel Kiss,"Jul 21, 1987",1987,7,21,3,Baloncesto
14335,Miklos Molnar,"Sep 7, 1985",1985,9,7,3,Baloncesto
14337,Tamas Papp,"Jan 19, 1986",1986,1,19,1,Baloncesto
14363,Dion Dowell,"Jun 11, 1985",1985,6,11,2,Baloncesto
14367,Tony Skinn,"Feb 8, 1983",1983,2,8,1,Baloncesto
14387,Sean Daniel,"May 4, 1989",1989,5,4,2,Baloncesto
14392,Nir Cohen,"Jun 17, 1987",1987,6,17,2,Baloncesto
14394,Lior Lifshitz,"Dec 22, 1984",1984,12,22,4,Baloncesto
14397,Yan Martin,"Nov 20, 1984",1984,11,20,4,Baloncesto
14398,Guy Lavie,"Feb 27, 1992",1992,2,27,1,Baloncesto
14400,Ofir Farhi,"May 30, 1986",1986,5,30,2,Baloncesto
14401,Erez Katz,"Apr 9, 1980",1980,4,9,2,Baloncesto
14423,Ivan Zoroski,"Jul 24, 1979",1979,7,24,3,Baloncesto
14429,Marko Milic,"May 7, 1977",1977,5,7,2,Baloncesto
14440,Valerio Amoroso,"Sep 26, 1980",1980,9,26,3,Baloncesto
14444,Jurica Golemac,"May 29, 1977",1977,5,29,2,Baloncesto
14459,Sani Becirovic,"May 19, 1981",1981,5,19,2,Baloncesto
14461,David Chiotti,"Sep 9, 1984",1984,9,9,3,Baloncesto
14469,Alex Righetti,"Aug 14, 1977",1977,8,14,3,Baloncesto
14477,Diego Fajardo,"Mar 11, 1976",1976,3,11,1,Baloncesto
14479,Matteo Malaventura,"Jun 13, 1978",1978,6,13,2,Baloncesto
14495,Massimo Bulleri,"Sep 10, 1977",1977,9,10,3,Baloncesto
14498,Tommaso Fantoni,"Mar 11, 1985",1985,3,11,1,Baloncesto
14500,Massimo Chessa,"Apr 30, 1988",1988,4,30,2,Baloncesto
14502,Anthony Maestranzi,"Jul 1, 1984",1984,7,1,3,Baloncesto
14517,Mindaugas Reminas,"Jun 16, 1986",1986,6,16,2,Baloncesto
14528,Evaldas Baniulis,"Sep 8, 1987",1987,9,8,3,Baloncesto
14536,Mindaugas Zukauskas,"Aug 24, 1975",1975,8,24,3,Baloncesto
14543,Aurimas Adomaitis,"Apr 5, 1987",1987,4,5,2,Baloncesto
14547,Giedrius Staniulis,"Apr 16, 1991",1991,4,16,2,Baloncesto
14551,Paulius Joneliunas,"Jun 19, 1984",1984,6,19,2,Baloncesto
14554,Edvinas Ruzgas,"Jun 3, 1987",1987,6,3,2,Baloncesto
14556,Paulius Kleiza,"Jul 14, 1988",1988,7,14,3,Baloncesto
14567,Tomas Cerneckis,"Jan 4, 1988",1988,1,4,1,Baloncesto
14568,Tomas Rinkevicius,"Jan 4, 1978",1978,1,4,1,Baloncesto
14570,Virginijus Sirvydis,"Aug 23, 1973",1973,8,23,3,Baloncesto
14573,Julius Zurna,"Jun 6, 1986",1986,6,6,2,Baloncesto
14574,Marius Valukonis,"Aug 25, 1988",1988,8,25,3,Baloncesto
14576,Arturas Bruninis,"Jul 13, 1982",1982,7,13,3,Baloncesto
14578,Zydrunas Kelys,"Apr 29, 1987",1987,4,29,2,Baloncesto
14587,Paulius Beliavicius,"Apr 16, 1988",1988,4,16,2,Baloncesto
14588,Roman Gumenyuk,"Sep 19, 1987",1987,9,19,3,Baloncesto
14605,Ognen Stojanovski,"Jan 25, 1985",1985,1,25,1,Baloncesto
14609,Darko Matic,"Mar 18, 1984",1984,3,18,1,Baloncesto
14617,Sinisa Avramovski,"Sep 2, 1985",1985,9,2,3,Baloncesto
14623,Velibor Buha,"Feb 12, 1988",1988,2,12,1,Baloncesto
14627,Dejan Vegov,"Jan 8, 1983",1983,1,8,1,Baloncesto
14634,Toni Grncarov,"Feb 8, 1980",1980,2,8,1,Baloncesto
14642,Ryan Moss,"Apr 4, 1974",1974,4,4,2,Baloncesto
14647,Jesus Verdejo,"Oct 28, 1985",1985,10,28,4,Baloncesto
14658,Jason Edwin,"Jun 24, 1981",1981,6,24,2,Baloncesto
14669,David Cortes,"Dec 23, 1981",1981,12,23,4,Baloncesto
14670,Jose Vargas,"Jan 23, 1982",1982,1,23,1,Baloncesto
14682,Horacio Llamas,"Jul 17, 1973",1973,7,17,3,Baloncesto
14687,Alvin Cruz,"Apr 24, 1982",1982,4,24,2,Baloncesto
14690,DeVaughn Lamont,"Jun 18, 1984",1984,6,18,2,Baloncesto
14776,Steve Nash,"Feb 7, 1974",1974,2,7,1,Baloncesto
14802,Nikola Pekovic,"Jan 3, 1986",1986,1,3,1,Baloncesto
14912,Vladimir Radmanovic,"Nov 19, 1980",1980,11,19,4,Baloncesto
14927,Sasha Pavlovic,"Nov 15, 1983",1983,11,15,4,Baloncesto
15006,Mickael Pietrus,"Feb 7, 1982",1982,2,7,1,Baloncesto
15122,Peter Van Paassen,"Dec 20, 1978",1978,12,20,4,Baloncesto
15127,Mitchel Kouwijzer,"Mar 16, 1987",1987,3,16,1,Baloncesto
15129,Bryan DeFares,"Jun 14, 1981",1981,6,14,2,Baloncesto
15135,Niels Vorenhout,"Mar 17, 1980",1980,3,17,1,Baloncesto
15152,Craig Bradshaw,"Jul 28, 1983",1983,7,28,3,Baloncesto
15170,Dan Peck,"Jan 13, 1988",1988,1,13,1,Baloncesto
15175,Chris Daniel,"May 15, 1985",1985,5,15,2,Baloncesto
15179,Riki Buckrell,"Apr 8, 1990",1990,4,8,2,Baloncesto
15180,Charlie Piho,"Jun 8, 1987",1987,6,8,2,Baloncesto
15182,James Ross,"Jun 8, 1989",1989,6,8,2,Baloncesto
15183,Mada Abdelhamid,"Jun 29, 1987",1987,6,29,2,Baloncesto
15185,Shaun Tilby,"Aug 24, 1981",1981,8,24,3,Baloncesto
15186,Darryl Cartwright,"Mar 22, 1977",1977,3,22,1,Baloncesto
15188,Damon Rampton,"Dec 18, 1978",1978,12,18,4,Baloncesto
15197,Ronny Karlsen,"Oct 25, 1978",1978,10,25,4,Baloncesto
15213,Fredrik Bohn,"Jun 7, 1991",1991,6,7,2,Baloncesto
15214,Filip Sjostrom,"Mar 6, 1990",1990,3,6,1,Baloncesto
15216,Gisle Klubnes,"Jul 19, 1984",1984,7,19,3,Baloncesto
15225,Oyvind Fritzen,"Nov 13, 1980",1980,11,13,4,Baloncesto
15228,Marco Elsafadi,"Dec 6, 1976",1976,12,6,4,Baloncesto
15229,Lars Jaeger Torkildsen,"Jun 18, 1981",1981,6,18,2,Baloncesto
15230,Bendik Aunan,"Sep 24, 1990",1990,9,24,3,Baloncesto
15233,Ziko Mahojlovic,"Feb 25, 1992",1992,2,25,1,Baloncesto
15235,Frederik Gnatt,"Feb 6, 1984",1984,2,6,1,Baloncesto
15236,Jorn Stian Olsen,"Jun 27, 1986",1986,6,27,2,Baloncesto
15239,Simon Wroldsen,"Dec 13, 1993",1993,12,13,4,Baloncesto
15240,Are Kristiansen,"Nov 14, 1981",1981,11,14,4,Baloncesto
15243,Bjornar Andersen,"Jul 29, 1989",1989,7,29,3,Baloncesto
15245,Frederic Mamen,"Oct 5, 1982",1982,10,5,4,Baloncesto
15250,Daniel Kickert,"May 29, 1983",1983,5,29,2,Baloncesto
15252,Paul Graham III,"Dec 2, 1985",1985,12,2,4,Baloncesto
15273,Igor Milicic,"Jun 9, 1976",1976,6,9,2,Baloncesto
15287,Lukasz Wichniarz,"Oct 13, 1982",1982,10,13,4,Baloncesto
15302,Rafal Bigus,"Jul 12, 1976",1976,7,12,3,Baloncesto
15307,Wojciech Barycz,"Apr 13, 1984",1984,4,13,2,Baloncesto
15309,Bartlomiej Szczepaniak,"Jun 24, 1981",1981,6,24,2,Baloncesto
15317,Zbigniew Bialek,"Nov 5, 1982",1982,11,5,4,Baloncesto
15319,Krzysztof Roszyk,"Aug 20, 1978",1978,8,20,3,Baloncesto
15320,Marek Popiolek,"Jul 19, 1989",1989,7,19,3,Baloncesto
15321,Pawel Buczak,"Jul 19, 1988",1988,7,19,3,Baloncesto
15330,Adam Metelski,"Nov 26, 1983",1983,11,26,4,Baloncesto
15332,Piotr Trepka,"Mar 20, 1980",1980,3,20,1,Baloncesto
15333,Tomasz Smorawinski,"Mar 4, 1987",1987,3,4,1,Baloncesto
15335,Filip Kenig,"Dec 22, 1978",1978,12,22,4,Baloncesto
15358,Nikita Khartchenkov,"Jan 12, 1987",1987,1,12,1,Baloncesto
15360,Darko Vujacic,"Apr 10, 1979",1979,4,10,2,Baloncesto
15364,Sasha Topchov,"Jan 6, 1980",1980,1,6,1,Baloncesto
15365,Madalin Nicolae,"Jul 30, 1984",1984,7,30,3,Baloncesto
15368,Branislav Tomic,"Oct 3, 1980",1980,10,3,4,Baloncesto
15375,Dino Erceg,"Feb 26, 1985",1985,2,26,1,Baloncesto
15376,Brice Kabengele-Kalala,"Aug 23, 1981",1981,8,23,3,Baloncesto
15381,Vlad Popovici,"May 28, 1994",1994,5,28,2,Baloncesto
15382,Vladimir Mijovic,"Dec 14, 1984",1984,12,14,4,Baloncesto
15388,Zoran Milovic,"Jul 31, 1977",1977,7,31,3,Baloncesto
15396,Andrei Capusan,"Nov 14, 1983",1983,11,14,4,Baloncesto
15401,Vlad Cobzaru,"Apr 27, 1995",1995,4,27,2,Baloncesto
15403,Cristian Jakab,"Nov 8, 1981",1981,11,8,4,Baloncesto
15406,Claudiu Fometescu,"Sep 29, 1973",1973,9,29,3,Baloncesto
15409,Viorel Mocanu,"Apr 18, 1977",1977,4,18,2,Baloncesto
15411,Teodor Jucan,"Jan 26, 1983",1983,1,26,1,Baloncesto
15413,Dumitru Anghel,"Sep 30, 1972",1972,9,30,3,Baloncesto
15414,Zoltan Samuila,"Mar 30, 1988",1988,3,30,1,Baloncesto
15416,Razvan Popa,"Apr 14, 1975",1975,4,14,2,Baloncesto
15418,Branko Milisavljevic,"Jul 21, 1976",1976,7,21,3,Baloncesto
15426,Dusan Cantekin,"Jun 21, 1990",1990,6,21,2,Baloncesto
15433,Dragoljub Kitanovic,"Jan 11, 1985",1985,1,11,1,Baloncesto
15434,Goran Bajic,"Jul 3, 1983",1983,7,3,3,Baloncesto
15440,Zoran Majkic,"Feb 21, 1978",1978,2,21,1,Baloncesto
15445,Zoran Osmokrovic,"Sep 13, 1981",1981,9,13,3,Baloncesto
15447,Nenad Canak,"Apr 24, 1976",1976,4,24,2,Baloncesto
15460,Miroslav Tomic,"May 30, 1984",1984,5,30,2,Baloncesto
15470,Vladimir Radmanovac,"Jun 8, 1982",1982,6,8,2,Baloncesto
15475,Nenad Stefanovic,"Aug 31, 1985",1985,8,31,3,Baloncesto
15480,Filip Pajevic,"Aug 31, 1984",1984,8,31,3,Baloncesto
15481,Vladimir Jojic,"Aug 30, 1975",1975,8,30,3,Baloncesto
15495,Marko Vulin,"Dec 7, 1983",1983,12,7,4,Baloncesto
15499,Slobodan Stanojevic,"Mar 25, 1985",1985,3,25,1,Baloncesto
15501,Sasa Mihajlovic,"Sep 10, 1975",1975,9,10,3,Baloncesto
15513,Nikola Vukasovic,"Sep 19, 1991",1991,9,19,3,Baloncesto
15516,Nikola Otasevic,"Jan 25, 1982",1982,1,25,1,Baloncesto
15536,Vince Polakovic,"Mar 11, 1984",1984,3,11,1,Baloncesto
15545,Dejan Stojanovic,"Jan 9, 1978",1978,1,9,1,Baloncesto
15547,Richard Grznar,"May 2, 1991",1991,5,2,2,Baloncesto
15549,Marcel Madaj,"May 17, 1978",1978,5,17,2,Baloncesto
15555,Jan Zavodny,"Apr 14, 1987",1987,4,14,2,Baloncesto
15556,Branislav Koczkas,"May 9, 1982",1982,5,9,2,Baloncesto
15559,Peter Szabo,"Sep 17, 1989",1989,9,17,3,Baloncesto
15562,Ivica Cvitanovic,"Apr 16, 1982",1982,4,16,2,Baloncesto
15565,Peter Tilandy,"Jan 11, 1987",1987,1,11,1,Baloncesto
15577,Dejan Hohler,"Apr 25, 1986",1986,4,25,2,Baloncesto
15583,Dmitry Sviridov,"Jan 13, 1985",1985,1,13,1,Baloncesto
15584,Ante Dugum,"Jun 20, 1988",1988,6,20,2,Baloncesto
15595,Klemen Lorbek,"Jun 26, 1988",1988,6,26,2,Baloncesto
15600,Matej Luznar,"Oct 20, 1992",1992,10,20,4,Baloncesto
15609,Jasonn Hannibal,"May 5, 1988",1988,5,5,2,Baloncesto
15617,Miroslav Petrovic,"Mar 28, 1984",1984,3,28,1,Baloncesto
15622,Primoz Kobale,"Jun 20, 1976",1976,6,20,2,Baloncesto
15625,Marko Filipovic,"Sep 20, 1993",1993,9,20,3,Baloncesto
15630,Jaka Doljak,"Feb 26, 1993",1993,2,26,1,Baloncesto
15636,Jan Demsar,"Mar 28, 1992",1992,3,28,1,Baloncesto
15638,Luka Nemanic,"Sep 5, 1992",1992,9,5,3,Baloncesto
15644,Luka Zavrsnik,"May 1, 1990",1990,5,1,2,Baloncesto
15645,Hasan Kovacevic,"Aug 21, 1993",1993,8,21,3,Baloncesto
15649,Matevz Dobravec,"Jun 25, 1993",1993,6,25,2,Baloncesto
15674,Seung-Gyun Choo,"Dec 6, 1974",1974,12,6,4,Baloncesto
15677,Dong-Woo Kim,"Feb 3, 1980",1980,2,3,1,Baloncesto
15684,Jong-Cheon Park,"Aug 1, 1979",1979,8,1,3,Baloncesto
15685,Ki-Sung Shin,"Apr 30, 1975",1975,4,30,2,Baloncesto
15687,Jin-Won Hwang,"Sep 24, 1978",1978,9,24,3,Baloncesto
15688,Min-Soo Jeong,"Jul 20, 1988",1988,7,20,3,Baloncesto
15694,Sung-Chul Kim,"May 14, 1976",1976,5,14,2,Baloncesto
15696,Ji-Woon Lee,"Mar 17, 1988",1988,3,17,1,Baloncesto
15707,Young-Soo Kim,"Nov 2, 1984",1984,11,2,4,Baloncesto
15758,Derrick Obasohan,"Apr 18, 1981",1981,4,18,2,Baloncesto
15771,Vitor Faverani,"May 5, 1988",1988,5,5,2,Baloncesto
15785,Xavi Rey,"Jul 13, 1987",1987,7,13,3,Baloncesto
15797,Sergio Sanchez,"Mar 1, 1981",1981,3,1,1,Baloncesto
15801,Milt Palacio,"Feb 7, 1978",1978,2,7,1,Baloncesto
15820,Mohamed Kone,"Mar 14, 1981",1981,3,14,1,Baloncesto
15821,Isaac Lopez,"Aug 25, 1978",1978,8,25,3,Baloncesto
15824,Roman Montanez,"Feb 18, 1979",1979,2,18,1,Baloncesto
15826,Rodrigo De La Fuente,"Nov 26, 1976",1976,11,26,4,Baloncesto
15830,Jorge Garbajosa,"Dec 19, 1977",1977,12,19,4,Baloncesto
15831,Carlos Jimenez,"Feb 10, 1976",1976,2,10,1,Baloncesto
15835,Ferran Lavina,"Mar 24, 1977",1977,3,24,1,Baloncesto
15840,Javi Rodriguez,"Apr 22, 1979",1979,4,22,2,Baloncesto
15853,Logi Gunnarsson,"Sep 5, 1981",1981,9,5,3,Baloncesto
15865,Helgi Magnusson,"Aug 27, 1982",1982,8,27,3,Baloncesto
15873,Lesli Myrthil,"Apr 23, 1977",1977,4,23,2,Baloncesto
15881,Brynjar Bjornsson,"Jul 11, 1988",1988,7,11,3,Baloncesto
15890,Gustav Nystrom,"Feb 14, 1989",1989,2,14,1,Baloncesto
15892,Theodoros Georgitsis,"Jan 29, 1983",1983,1,29,1,Baloncesto
15903,Johan Westerlund,"Apr 5, 1984",1984,4,5,2,Baloncesto
15924,Florent Ramseier,"Sep 21, 1990",1990,9,21,3,Baloncesto
15927,Rokas Uzas,"Jun 22, 1988",1988,6,22,2,Baloncesto
15931,Martin Mihajlovic,"Oct 18, 1981",1981,10,18,4,Baloncesto
15941,Vladimir Buscaglia,"Jul 4, 1980",1980,7,4,3,Baloncesto
15943,Slaven Smiljanic,"Sep 23, 1978",1978,9,23,3,Baloncesto
15945,Xavier Paredes,"Mar 2, 1986",1986,3,2,1,Baloncesto
15948,Taulant Murati,"Oct 29, 1992",1992,10,29,4,Baloncesto
15950,Lionel Bobetso,"May 28, 1988",1988,5,28,2,Baloncesto
15951,Roman Albrecht,"Jan 2, 1990",1990,1,2,1,Baloncesto
15953,Marco Salomone,"Mar 3, 1978",1978,3,3,1,Baloncesto
15954,Jerome Stucheli,"Jan 8, 1989",1989,1,8,1,Baloncesto
15980,Jurica Zuza,"Apr 4, 1978",1978,4,4,2,Baloncesto
15996,Kaspars Kambala,"Dec 13, 1978",1978,12,13,4,Baloncesto
16000,Serkan Erdogan,"Aug 30, 1978",1978,8,30,3,Baloncesto
