,Nombre,Nacimiento,year,month,day,trimestre
405,"Rogado Hernández, María Encarnación",18/04/1963,1963,4,18,2
406,"Román Jasanada, Antonio",21/06/1965,1965,6,21,2
407,"Romay Beccaría, José Manuel",18/01/1934,1934,1,18,1
408,"Romero Girón, Aurelio",25/12/1947,1947,12,25,4
409,"Romero López, Carmen",15/11/1946,1946,11,15,4
410,"Romero Sánchez, Rosa María",14/02/1970,1970,2,14,1
411,"Romeu Martí, Francesc Joaquim",21/05/1974,1974,5,21,2
412,"Rubiales Torrejón, Amparo",20/10/1945,1945,10,20,4
413,"Rudi Úbeda, Luisa Fernanda",13/12/1950,1950,12,13,4
414,"Ruiz López, Antero",13/11/1950,1950,11,13,4
415,"Ruiz López, Juan Carlos",04/06/1967,1967,4,6,2
